sample,decay,suu_mass,chi_mass,th_code,pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_chi,f_peak_chi,f_peak_event_both,f_peak_event_both_all,off_peak_event_fraction,off_peak_event_fraction_err,median_mass,q16_mass,q84_mass,median_mass_response,q16_mass_response,q84_mass_response,robust_resolution,median_mass_asymmetry,balanced_score,regime_efficiency_constraint_met,regime
HtHt_4000_1000,HtHt,4000,1000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_4000_1000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.013,0.003582038525755969,0.008,0.667,0.633,0.633,0.367,0.015241751867813621,1045.140879203892,858.165132800946,1501.8233840802914,1.0451408792038919,0.8581651328009461,1.5018233840802915,0.30792894244536434,0.0002723180540958401,0.6794430303657535,True,4000/1000_HtHt
HtZt_4000_1000,HtZt,4000,1000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtZt_4000_1000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.034,0.005730968504537431,0.021,0.6595,0.609,0.609,0.391,0.015431104950715617,1019.3601285084458,821.9811715415594,1485.7420704804265,1.019360128508446,0.8219811715415594,1.4857420704804265,0.3255772324105413,0.0011427405023539303,0.7185132452613859,True,4000/1000_HtZt
WbHt_4000_1000,WbHt,4000,1000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.015,0.003843826218756514,0.009,0.692,0.649,0.649,0.351,0.015093011627902497,1035.6475988433751,870.1950838892736,1483.3934738414887,1.035647598843375,0.8701950838892736,1.4833934738414887,0.296045870543727,0.0008506501711672526,0.6506106304280646,True,4000/1000_WbHt
WbWb_4000_1000,WbWb,4000,1000,85,160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt160_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.043,0.006414904519944158,0.0265,0.685,0.607,0.607,0.393,0.015445096309184997,1016.4257117689754,880.8371316927058,1483.1148479775482,1.0164257117689752,0.8808371316927058,1.483114847977548,0.29627237352971186,0.003722719120682342,0.6909149447066094,True,4000/1000_WbWb
WbZt_4000_1000,WbZt,4000,1000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_4000_1000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.017,0.004087909000944126,0.0105,0.6425,0.598,0.598,0.402,0.015504708962118573,1063.6755791538626,897.9385063659263,1566.347349018337,1.0636755791538626,0.8979385063659262,1.566347349018337,0.3141977007614106,0.00043107840843148513,0.7225652586767969,True,4000/1000_WbZt
ZtZt_4000_1000,ZtZt,4000,1000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_4000_1000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.019,0.004317290817167636,0.011,0.658,0.615,0.615,0.385,0.015387494922826133,1065.1695566813337,876.4712614219203,1515.7882808997535,1.065169556681334,0.8764712614219203,1.5157882808997534,0.30010105690107375,0.0003621522094269855,0.6916180125692071,True,4000/1000_ZtZt
HtHt_6000_2000,HtHt,6000,2000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.006,0.002442130217658346,0.003,0.917,0.897,0.897,0.10299999999999998,0.009612023720320294,1920.114463053878,1729.9940006929178,2306.733479973661,0.960057231526939,0.864997000346459,1.1533667399868304,0.15018361935659238,0.0001985812498974122,0.25717789620389847,True,6000/2000_HtHt
HtZt_6000_2000,HtZt,6000,2000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtZt_6000_2000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.013,0.003582038525755969,0.007,0.877,0.848,0.848,0.15200000000000002,0.011353237423748348,1897.0511598536634,1722.6994639520087,2350.335602522654,0.9485255799268317,0.8613497319760044,1.175167801261327,0.1654241466579795,0.0005114654186193595,0.32257158866529634,True,6000/2000_HtZt
WbHt_6000_2000,WbHt,6000,2000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.023,0.004740358636221525,0.0115,0.878,0.837,0.837,0.16300000000000003,0.011680368144883107,1930.4418174140374,1672.2605159451825,2273.42225278081,0.9652209087070187,0.8361302579725912,1.136711126390405,0.15570573829594256,0.0004510591390610321,0.32218364742524075,True,6000/2000_WbHt
WbWb_6000_2000,WbWb,6000,2000,85,160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_6000_2000_pt160_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.04,0.0061967733539318665,0.021,0.894,0.86,0.86,0.14,0.010972693379476163,1941.0353944085919,1768.1168431766089,2271.185864270382,0.9705176972042959,0.8840584215883044,1.135592932135191,0.1295878020933904,0.00493524554634114,0.27253603237296087,True,6000/2000_WbWb
WbZt_6000_2000,WbZt,6000,2000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.027,0.00512552436341883,0.0145,0.848,0.798,0.798,0.20199999999999996,0.01269629867323544,1924.0916486530614,1660.0716054594675,2317.3569987320357,0.9620458243265307,0.8300358027297339,1.158678499366018,0.1708040762332432,0.00398143599249713,0.3765994938005901,True,6000/2000_WbZt
ZtZt_6000_2000,ZtZt,6000,2000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_6000_2000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.022,0.0046385342512479085,0.011,0.878,0.851,0.851,0.14900000000000002,0.011260506205317771,1961.8298284396783,1763.2188103956116,2365.024578920126,0.9809149142198392,0.8816094051978058,1.182512289460063,0.1533786875396717,0.0003003724464823925,0.30428719611768784,True,6000/2000_ZtZt
HtHt_8000_3000,HtHt,8000,3000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_8000_3000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.02,0.004427188724235731,0.01,0.917,0.879,0.879,0.121,0.010313049985334114,2778.4088486127234,2470.059793524097,3097.2127964126244,0.9261362828709079,0.8233532645080324,1.0324042654708747,0.1128618999327022,0.0035901963354042876,0.2412482716456114,True,8000/3000_HtHt
HtZt_8000_3000,HtZt,8000,3000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtZt_8000_3000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.018,0.004204283529925164,0.009,0.9155,0.874,0.874,0.126,0.010493998284733994,2822.8428179641855,2510.001203038441,3129.0600371362034,0.9409476059880619,0.8366670676794804,1.0430200123787343,0.109651665717651,0.004576960678976592,0.2415569051188448,True,8000/3000_HtZt
WbHt_8000_3000,WbHt,8000,3000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_8000_3000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.03,0.005394441583704471,0.0155,0.844,0.781,0.781,0.21899999999999997,0.013078187947877183,2763.910087797796,2179.631334901508,3085.9882753768998,0.9213033625992655,0.7265437783005027,1.0286627584589665,0.16396281204602253,0.010461451271434951,0.3908324757860959,True,8000/3000_WbHt
