rank,pt_cut,ak_radius,ca_radius,n_regimes,regime_coverage,global_objective,mean_score,mean_regret,median_regret,q90_regret,worst_regret,coverage_regret_le_0.02,coverage_regret_le_0.05,coverage_regret_le_0.1
1,120,0.6,0.4,18,1.0,0.03176694606537677,0.4371864001369089,0.007984211329193448,0.006478932845495583,0.016827272642622994,0.02977089323307841,0.9444444444444444,1.0,1.0
2,140,0.6,0.4,18,1.0,0.06250140269882372,0.454184965986304,0.024982777178588503,0.0254550094532211,0.05025336217886264,0.056255708404176596,0.3888888888888889,0.8888888888888888,1.0
3,100,0.6,0.6,18,1.0,0.207376497384022,0.5363545887690224,0.107152399961307,0.09810735251435371,0.15569446501037848,0.18058839739369525,0.0,0.0,0.5555555555555556
4,180,0.6,0.4,18,1.0,0.20813349990784802,0.5089938866871042,0.07979169787938868,0.05470662499805248,0.1756707982447761,0.18818557543800085,0.1111111111111111,0.4444444444444444,0.6666666666666666
5,200,0.8,0.6,18,1.0,0.22371074677593628,0.529307226058164,0.10010503725044864,0.09619559877549846,0.16699905524723138,0.19868448746332412,0.0,0.16666666666666666,0.5555555555555556
6,100,0.4,0.4,18,1.0,0.22694745061069993,0.5228571233172502,0.0936549345095348,0.0645505858526827,0.18160489107358507,0.20353371698331624,0.0,0.16666666666666666,0.7222222222222222
7,180,1.0,0.8,18,1.0,0.2367283407049113,0.5783700687897357,0.14916787998202027,0.1512748525751574,0.1869452837786549,0.19943637070940623,0.0,0.0,0.16666666666666666
8,200,1.0,0.8,18,1.0,0.23950253965024867,0.5831637996266026,0.15396161081888715,0.1597207333043034,0.19723587808165677,0.2010121369455269,0.0,0.0,0.05555555555555555
9,120,0.6,0.6,18,1.0,0.24602278114852302,0.5534426169444361,0.12424042813672052,0.10553111567196582,0.19469903221872464,0.2149626741143429,0.0,0.0,0.3888888888888889
10,160,1.0,0.8,18,1.0,0.24918347965341892,0.5849913387501978,0.15578914994248239,0.16046601893385218,0.19526377726341906,0.21023619216779832,0.0,0.0,0.05555555555555555
