sample,decay,suu_mass,chi_mass,th_code,pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_chi,f_peak_chi,f_peak_event_both,f_peak_event_both_all,off_peak_event_fraction,off_peak_event_fraction_err,median_mass,q16_mass,q84_mass,median_mass_response,q16_mass_response,q84_mass_response,robust_resolution,median_mass_asymmetry,balanced_score
WbWb_8000_3000,WbWb,8000,3000,85,140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_8000_3000_pt140_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.028,0.005216895628628198,0.014,0.9285,0.89,0.89,0.10999999999999999,0.009894442884771228,2849.3190602821264,2570.089110364952,3131.0514404094947,0.9497730200940422,0.8566963701216507,1.0436838134698314,0.09843796327761874,0.008418150902610399,0.2134606612682145
WbWb_8000_3000,WbWb,8000,3000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_8000_3000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.026,0.0050322956987840055,0.013,0.928,0.891,0.891,0.10899999999999999,0.009854897259738428,2855.423855223323,2587.113079608746,3168.85687759446,0.9518079517411077,0.8623710265362486,1.0562856258648199,0.10186645266718476,0.006648312872916085,0.215685657493074
WbWb_8000_3000,WbWb,8000,3000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_8000_3000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.025,0.0049371044145328745,0.0125,0.9275,0.892,0.892,0.10799999999999998,0.009815090422405694,2868.76506177228,2596.0005862534153,3195.4632826466054,0.9562550205907601,0.8653335287511386,1.0651544275488685,0.10448096715575074,0.00426679234349083,0.21685546509667472
WbWb_8000_3000,WbWb,8000,3000,85,160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_8000_3000_pt160_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.037,0.005969170796685248,0.0185,0.924,0.881,0.881,0.119,0.010239091756596383,2842.225440465599,2555.7717960596883,3122.425332356125,0.9474084801551996,0.8519239320198961,1.0408084441187084,0.09968483291804091,0.010345334016337197,0.22394398490252093
WbWb_8000_3000,WbWb,8000,3000,85,180,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_8000_3000_pt180_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.039,0.006122009474020765,0.02,0.921,0.876,0.876,0.124,0.010422283818818216,2834.8535472113463,2549.05859644047,3108.239215334565,0.9449511824037822,0.8496861988134901,1.036079738444855,0.09862601534463085,0.011307993662116008,0.2281308971042526
ZtZt_8000_3000,ZtZt,8000,3000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.026,0.0050322956987840055,0.013,0.918,0.88,0.88,0.12,0.010276186062932104,2826.9700087634587,2520.0674590848257,3101.506157679767,0.9423233362544863,0.8400224863616087,1.0338353858932556,0.10283779042446706,0.004979966943424827,0.22860545679901842
WbWb_8000_3000,WbWb,8000,3000,85,200,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_8000_3000_pt200_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.048,0.006759881655768835,0.0245,0.915,0.865,0.865,0.135,0.010806248192596726,2831.3778621783313,2539.7684034416284,3089.00714243089,0.9437926207261105,0.8465894678138761,1.0296690474769632,0.09699142356200778,0.011834195356145312,0.23761216148939673
ZtZt_8000_3000,ZtZt,8000,3000,85,140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt140_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.038,0.006046155803483731,0.0195,0.9135,0.871,0.871,0.129,0.010599952830083727,2823.0667506631453,2489.7118908413518,3075.7708719497728,0.9410222502210484,0.8299039636137839,1.0252569573165908,0.10379828620254092,0.006716858013425715,0.2386960611804361
WbWb_8000_3000,WbWb,8000,3000,85,100,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_8000_3000_pt100_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.038,0.006046155803483731,0.019,0.921,0.879,0.879,0.121,0.010313049985334114,2778.10368104395,2471.5652400693416,3095.9140395615477,0.9260345603479834,0.8238550800231138,1.0319713465205158,0.1123696001255053,0.029714923984417815,0.24076614409070696
HtHt_8000_3000,HtHt,8000,3000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_8000_3000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.02,0.004427188724235731,0.01,0.917,0.879,0.879,0.121,0.010313049985334114,2778.4088486127234,2470.059793524097,3097.2127964126244,0.9261362828709079,0.8233532645080324,1.0324042654708747,0.1128618999327022,0.0035901963354042876,0.2412482716456114
