sample,decay,suu_mass,chi_mass,th_code,pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_chi,f_peak_chi,f_peak_event_both,f_peak_event_both_all,off_peak_event_fraction,off_peak_event_fraction_err,median_mass,q16_mass,q84_mass,median_mass_response,q16_mass_response,q84_mass_response,robust_resolution,median_mass_asymmetry,balanced_score
HtHt_6000_2000,HtHt,6000,2000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.006,0.002442130217658346,0.003,0.917,0.897,0.897,0.10299999999999998,0.009612023720320294,1920.114463053878,1729.9940006929178,2306.733479973661,0.960057231526939,0.864997000346459,1.1533667399868304,0.15018361935659238,0.0001985812498974122,0.25717789620389847
HtHt_6000_2000,HtHt,6000,2000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.01,0.003146426544510455,0.0055,0.918,0.892,0.892,0.10799999999999998,0.009815090422405694,1902.4242754785764,1701.9496055656336,2279.793648041328,0.9512121377392884,0.8509748027828168,1.1398968240206642,0.15187044496957217,0.00033453479538272896,0.2647492311956433
HtHt_6000_2000,HtHt,6000,2000,85,140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt140_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.022,0.0046385342512479085,0.0115,0.9155,0.883,0.883,0.11699999999999999,0.010164201887015036,1886.0154956912038,1684.1083834272354,2243.1520919973923,0.9430077478456019,0.8420541917136177,1.1215760459986963,0.14820761278137692,0.0009059492322518253,0.2709068379968167
HtHt_6000_2000,HtHt,6000,2000,85,160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt160_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.027,0.00512552436341883,0.014,0.9085,0.867,0.867,0.133,0.010738295954200556,1870.1147110791799,1658.8519415871033,2219.975487527419,0.9350573555395899,0.8294259707935516,1.1099877437637093,0.15002383078856965,0.0026940517557810352,0.2895180952346107
HtHt_6000_2000,HtHt,6000,2000,85,180,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt180_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.039,0.006122009474020765,0.0205,0.8985,0.851,0.851,0.14900000000000002,0.011260506205317771,1863.0860899371978,1631.2853960853638,2202.730285158373,0.9315430449685989,0.815642698042682,1.1013651425791866,0.1533597647901155,0.003889679913750106,0.3092054602932557
HtHt_6000_2000,HtHt,6000,2000,85,100,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt100_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.018,0.004204283529925164,0.009,0.909,0.856,0.856,0.14400000000000002,0.011102432165971564,1822.3992175362632,1605.147484981287,2236.4718473234443,0.9111996087681317,0.8025737424906436,1.1182359236617223,0.17321242136935752,0.029217170318146562,0.32609246049254437
HtHt_6000_2000,HtHt,6000,2000,85,200,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt200_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.045,0.0065555320150236475,0.024,0.887,0.832,0.832,0.16800000000000004,0.011822690049223148,1857.3756182723828,1612.565909871029,2183.7267369521337,0.9286878091361914,0.8062829549355145,1.0918633684760668,0.1537547982923248,0.0055973962390926685,0.3288860173787057
HtHt_6000_2000,HtHt,6000,2000,85,140,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt140_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.014,0.003715373467095872,0.007,0.87,0.832,0.832,0.16800000000000004,0.011822690049223148,1970.515456575731,1779.1638225226654,2408.2129904343915,0.9852577282878654,0.8895819112613328,1.2041064952171958,0.15961538535832095,0.008319839075469019,0.32908961252953445
HtHt_6000_2000,HtHt,6000,2000,85,160,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt160_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.03,0.005394441583704471,0.0155,0.8725,0.829,0.829,0.17100000000000004,0.011906258858264422,1960.1954413823141,1758.9963811688488,2382.7679452537577,0.9800977206911572,0.8794981905844245,1.1913839726268791,0.15910953339556552,0.009771086909536226,0.3320997613264498
HtHt_6000_2000,HtHt,6000,2000,85,180,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/HtHt_6000_2000_pt180_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.039,0.006122009474020765,0.02,0.869,0.821,0.821,0.17900000000000005,0.012122664723566351,1953.7145109256671,1739.8457426019897,2342.9793563608373,0.9768572554628336,0.8699228713009949,1.1714896781804187,0.15435561602935624,0.011807068259972443,0.33566989048307294
