sample,decay,suu_mass,chi_mass,th_code,pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_chi,f_peak_chi,f_peak_event_both,f_peak_event_both_all,off_peak_event_fraction,off_peak_event_fraction_err,median_mass,q16_mass,q84_mass,median_mass_response,q16_mass_response,q84_mass_response,robust_resolution,median_mass_asymmetry,balanced_score
WbWb_4000_1000,WbWb,4000,1000,85,160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt160_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.043,0.006414904519944158,0.0265,0.685,0.607,0.607,0.393,0.015445096309184997,1016.4257117689754,880.8371316927058,1483.1148479775482,1.0164257117689752,0.8808371316927058,1.483114847977548,0.29627237352971186,0.003722719120682342,0.6909149447066094
WbWb_4000_1000,WbWb,4000,1000,85,140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt140_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.032,0.005565608681896348,0.0195,0.6775,0.615,0.615,0.385,0.015387494922826133,1025.8002763527961,903.557977248717,1528.5899208863718,1.025800276352796,0.903557977248717,1.5285899208863716,0.3046557687915322,0.0011519086378883807,0.6922357964268118
WbWb_4000_1000,WbWb,4000,1000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.01,0.003146426544510455,0.0055,0.654,0.62,0.62,0.38,0.015349267083479915,1073.005224784107,929.7439657175287,1586.9031431612964,1.073005224784107,0.9297439657175287,1.5869031431612963,0.306223661481234,0.00043100306827348073,0.6935241839596447
WbWb_4000_1000,WbWb,4000,1000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.02,0.004427188724235731,0.0125,0.6685,0.62,0.62,0.38,0.015349267083479915,1043.8215774744879,916.2707972502652,1565.3809044037441,1.043821577474488,0.9162707972502652,1.5653809044037441,0.3109296268448445,0.0007267723037952243,0.6953117845922933
WbWb_4000_1000,WbWb,4000,1000,85,180,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt180_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.059,0.007451107300260815,0.0365,0.6765,0.581,0.581,0.41900000000000004,0.015602531845825537,1006.464625736028,833.1496945066913,1460.9381839374516,1.0064646257360281,0.8331496945066912,1.4609381839374518,0.3118780697193697,0.010342513763208293,0.7315245322929725
WbWb_4000_1000,WbWb,4000,1000,85,100,0.4,1.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt100_ak4_ca14_th85.root,ok,,1000,1000,1.0,0.0,0.13,0.010634848376916336,0.067,0.698,0.55,0.55,0.44999999999999996,0.015732132722552274,945.3507619725233,756.5437585463078,1327.2040084995938,0.9453507619725232,0.7565437585463077,1.3272040084995937,0.3018246099270994,0.09081773539595786,0.7572895337298471
WbWb_4000_1000,WbWb,4000,1000,85,120,0.6,1.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt120_ak6_ca14_th85.root,ok,,1000,1000,1.0,0.0,0.131,0.010669536072388528,0.068,0.6745,0.537,0.537,0.46299999999999997,0.015768037290671277,998.5224820756005,824.7493817640307,1419.796144250022,0.9985224820756005,0.8247493817640307,1.4197961442500222,0.2979636278439543,0.08497480357065562,0.7611113796363942
WbWb_4000_1000,WbWb,4000,1000,85,200,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt200_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.08,0.008579044235810887,0.051,0.6625,0.554,0.554,0.44599999999999995,0.01571890581433708,996.5035931760353,772.8533184783048,1408.2120609143935,0.9965035931760353,0.7728533184783047,1.4082120609143935,0.3187940047516973,0.016512786017907215,0.7651436454340936
WbWb_4000_1000,WbWb,4000,1000,85,100,0.6,1.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt100_ak6_ca14_th85.root,ok,,1000,1000,1.0,0.0,0.1,0.009486832980505138,0.0505,0.675,0.542,0.542,0.45799999999999996,0.015755506973753653,1011.6006422703759,843.5129082271131,1465.171209342108,1.011600642270376,0.8435129082271131,1.465171209342108,0.3072646828889819,0.0833377829603607,0.7664247471160195
WbWb_4000_1000,WbWb,4000,1000,85,140,0.6,1.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbWb_4000_1000_pt140_ak6_ca14_th85.root,ok,,1000,1000,1.0,0.0,0.168,0.011822690049223147,0.0875,0.675,0.532,0.532,0.46799999999999997,0.01577897335063343,986.5366146914122,785.2955400611673,1371.7053326447474,0.9865366146914122,0.7852955400611673,1.3717053326447475,0.297206299214251,0.08722125249493135,0.7665526377451097
