sample,decay,suu_mass,chi_mass,th_code,pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_chi,f_peak_chi,f_peak_event_both,f_peak_event_both_all,off_peak_event_fraction,off_peak_event_fraction_err,median_mass,q16_mass,q84_mass,median_mass_response,q16_mass_response,q84_mass_response,robust_resolution,median_mass_asymmetry,balanced_score
WbZt_6000_2000,WbZt,6000,2000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.027,0.00512552436341883,0.0145,0.848,0.798,0.798,0.20199999999999996,0.01269629867323544,1924.0916486530614,1660.0716054594675,2317.3569987320357,0.9620458243265307,0.8300358027297339,1.158678499366018,0.1708040762332432,0.00398143599249713,0.3765994938005901
WbZt_6000_2000,WbZt,6000,2000,85,140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt140_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.042,0.0063431853196954605,0.023,0.839,0.778,0.778,0.22199999999999998,0.013142145943490354,1910.0852430892896,1613.8125573903687,2289.331661042078,0.9550426215446448,0.8069062786951844,1.1446658305210389,0.17682956980473644,0.00756714468362494,0.40332530765027197
WbZt_6000_2000,WbZt,6000,2000,85,100,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt100_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.041,0.006270486424512854,0.022,0.834,0.765,0.765,0.235,0.013408019988051927,1847.9770843176016,1556.8521779895168,2283.596847205927,0.9239885421588008,0.7784260889947584,1.1417984236029635,0.1966324894891144,0.03652785109914736,0.43923363527323434
WbZt_6000_2000,WbZt,6000,2000,85,180,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt180_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.072,0.008174105455644672,0.04,0.823,0.75,0.75,0.25,0.013693063937629153,1893.1575853196014,1520.5017659392881,2233.2531658717917,0.9465787926598006,0.760250882969644,1.1166265829358957,0.18824407578626826,0.011132432232846039,0.4435861965202882
WbZt_6000_2000,WbZt,6000,2000,85,100,0.6,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt100_ak6_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.05,0.006892024376045111,0.0255,0.8155,0.738,0.738,0.262,0.013905250806799567,1931.7617407179632,1654.119714265568,2407.599060609689,0.9658808703589816,0.8270598571327841,1.2037995303048443,0.19502388168845308,0.03743048135231372,0.4604357946525549
WbZt_6000_2000,WbZt,6000,2000,85,100,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt100_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.02,0.004427188724235731,0.01,0.786,0.737,0.737,0.263,0.013922320208930694,2027.4424726495922,1773.6539187253738,2572.7630766134207,1.013721236324796,0.8868269593626869,1.2863815383067105,0.19707320150093338,0.007547377120822398,0.461445325133413
WbZt_6000_2000,WbZt,6000,2000,85,200,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt200_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.095,0.00927227048785787,0.053,0.807,0.728,0.728,0.272,0.014071815803228808,1886.54427668778,1474.0935351029839,2184.8841440093274,0.94327213834389,0.737046767551492,1.0924420720046637,0.1883842901779872,0.012911439600628037,0.4660570763435982
WbZt_6000_2000,WbZt,6000,2000,85,200,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt200_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.081,0.008627803892068943,0.0435,0.802,0.718,0.718,0.28200000000000003,0.014229406171727618,1965.4926944130507,1610.2452998040487,2343.9989837852595,0.9827463472065253,0.8051226499020243,1.1719994918926298,0.18665897005542664,0.018444733715959605,0.47038433533477414
WbZt_6000_2000,WbZt,6000,2000,85,120,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt120_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.066,0.007851369307324678,0.035,0.813,0.729,0.729,0.271,0.014055568291606,1834.3948897847608,1492.9825217163193,2220.927425830855,0.9171974448923803,0.7464912608581596,1.1104637129154276,0.19841553968784484,0.0414834227084797,0.47769579519860683
WbZt_6000_2000,WbZt,6000,2000,85,120,0.6,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt120_ak6_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.068,0.007960904471226871,0.035,0.808,0.722,0.722,0.278,0.01416742743055351,1910.6343551916361,1626.249491115268,2378.1436712794743,0.955317177595818,0.8131247455576339,1.1890718356397374,0.19676558681181888,0.039888481589364165,0.4792338690522371
WbZt_6000_2000,WbZt,6000,2000,85,100,0.4,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt100_ak4_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.066,0.007851369307324678,0.0345,0.8095,0.722,0.722,0.278,0.01416742743055351,1845.2448136649564,1517.7020697422622,2288.9419995441176,0.9226224068324782,0.758851034871131,1.1444709997720586,0.20898038138095268,0.042395792329392015,0.4947181406977049
WbZt_6000_2000,WbZt,6000,2000,85,220,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt220_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.098,0.009401914698613257,0.0535,0.788,0.697,0.697,0.30300000000000005,0.014532412050310162,1959.1503651875605,1533.8778429317565,2329.576934410304,0.9795751825937803,0.7669389214658783,1.164788467205152,0.20307249142726488,0.020477661997677532,0.5081149731678869
WbZt_6000_2000,WbZt,6000,2000,85,140,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt140_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.09,0.009049861877399014,0.0485,0.7985,0.708,0.708,0.29200000000000004,0.014378317008607092,1824.9308772749382,1442.1814367626348,2200.1793739036984,0.9124654386374691,0.7210907183813173,1.1000896869518493,0.20767853363107583,0.046795049806871006,0.508431989767329
WbZt_6000_2000,WbZt,6000,2000,85,180,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt180_ak10_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.067,0.007906389820898032,0.034,0.76,0.679,0.679,0.32099999999999995,0.0147634345597493,2060.3487466353276,1734.3197898784204,2540.2200417157587,1.0301743733176638,0.8671598949392102,1.2701100208578793,0.19557374768553656,0.021386857603472205,0.519591185017303
WbZt_6000_2000,WbZt,6000,2000,85,160,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt160_ak10_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.056,0.007270763371201128,0.028,0.756,0.68,0.68,0.31999999999999995,0.014751271131668619,2074.2453306001294,1758.8074768746894,2579.1688948339192,1.0371226653000647,0.8794037384373447,1.2895844474169598,0.1977493707848627,0.01854533414656458,0.521461637314869
WbZt_6000_2000,WbZt,6000,2000,85,200,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt200_ak10_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.08,0.008579044235810887,0.041,0.7635,0.676,0.676,0.32399999999999995,0.014799459449588015,2050.6642502893355,1690.606231292087,2492.576917948914,1.0253321251446676,0.8453031156460435,1.246288458974457,0.19553924698879252,0.024874269854103126,0.5220724595032592
WbZt_6000_2000,WbZt,6000,2000,85,240,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt240_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.133,0.010738295954200556,0.0775,0.786,0.694,0.694,0.30600000000000005,0.014572714228996602,1870.0505332059047,1324.8751774411544,2119.9246593913463,0.9350252666029524,0.6624375887205772,1.059962329695673,0.2125743309693363,0.01861430427484253,0.5250718043090411
WbZt_6000_2000,WbZt,6000,2000,85,140,0.8,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt140_ak8_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.096,0.009315793041926168,0.048,0.772,0.684,0.684,0.31599999999999995,0.014701836619960105,1983.7195067211555,1653.4500395262526,2500.587384395657,0.9918597533605777,0.8267250197631263,1.2502936921978287,0.21352246171879882,0.0410029951701853,0.530336486382741
WbZt_6000_2000,WbZt,6000,2000,85,120,0.4,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt120_ak4_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.096,0.009315793041926168,0.05,0.791,0.69,0.69,0.31000000000000005,0.014625320509308506,1831.4392841080148,1451.643783320562,2239.553910752995,0.9157196420540075,0.7258218916602811,1.1197769553764974,0.21510681087529926,0.04884238880587245,0.5335348466698986
WbZt_6000_2000,WbZt,6000,2000,85,240,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt240_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.112,0.00997276290703835,0.062,0.7775,0.677,0.677,0.32299999999999995,0.014787528529135624,1951.678896139716,1485.789462797562,2304.998156699818,0.975839448069858,0.742894731398781,1.152499078349909,0.20987281655875697,0.022862401840234928,0.5352888717517711
WbZt_6000_2000,WbZt,6000,2000,85,160,0.8,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt160_ak8_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.118,0.01020176455325254,0.059,0.771,0.679,0.679,0.32099999999999995,0.0147634345597493,1974.478043385866,1633.400970152476,2475.3885920470966,0.987239021692933,0.816700485076238,1.2376942960235482,0.213217772847645,0.04478192812890795,0.5354938706783516
WbZt_6000_2000,WbZt,6000,2000,85,120,0.8,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt120_ak8_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.065,0.007795832219846705,0.0325,0.763,0.678,0.678,0.32199999999999995,0.014775520295407536,1998.1215212388086,1700.6006350045184,2555.390040094781,0.9990607606194042,0.8503003175022591,1.2776950200473904,0.213898252935163,0.03798722305882346,0.5359921768732225
WbZt_6000_2000,WbZt,6000,2000,85,220,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt220_ak10_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.093,0.009184280047995052,0.048,0.7605,0.668,0.668,0.33199999999999996,0.014892145580808697,2042.536585019509,1649.302914017277,2476.869716258844,1.0212682925097547,0.8246514570086386,1.2384348581294222,0.2025831038501723,0.026245034115376792,0.5367099331011478
WbZt_6000_2000,WbZt,6000,2000,85,140,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt140_ak10_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.039,0.006122009474020765,0.0195,0.739,0.668,0.668,0.33199999999999996,0.014892145580808697,2092.4822434773014,1789.95438122745,2664.3701872422403,1.0462411217386505,0.8949771906137249,1.3321850936211201,0.20894222848019978,0.015398269858443179,0.5455663406540647
WbZt_6000_2000,WbZt,6000,2000,85,120,0.6,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt120_ak6_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.096,0.009315793041926168,0.049,0.775,0.677,0.677,0.32299999999999995,0.014787528529135624,1909.1095498020954,1564.8916573175668,2398.7509076473607,0.9545547749010477,0.7824458286587834,1.1993754538236803,0.21838957602412976,0.046085460829279376,0.545934098534025
WbZt_6000_2000,WbZt,6000,2000,85,260,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt260_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.129,0.010599952830083727,0.0715,0.773,0.668,0.668,0.33199999999999996,0.014892145580808697,1946.3378399481053,1429.248115144899,2261.2325861168165,0.9731689199740526,0.7146240575724495,1.130616293058408,0.21373074445135898,0.026208141650365505,0.5484138524539537
WbZt_6000_2000,WbZt,6000,2000,85,160,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbZt_6000_2000_pt160_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.123,0.010386096475577337,0.066,0.78,0.68,0.68,0.31999999999999995,0.014751271131668619,1810.9116476782697,1377.3805082988647,2181.303559072859,0.9054558238391348,0.6886902541494323,1.0906517795364297,0.22196639239818436,0.054263377510577665,0.5514208100142708
