pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_event_all,f_low_chi,f_peak_chi,f_peak_event_both,median_mass,q16_mass,q84_mass,robust_resolution,median_mass_asymmetry,balanced_score
100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut100_ak6_ca4.root,ok,,1000,1000,1.0,0.0,0.01,0.003146426544510455,0.01,0.0055,0.486,0.436,1073.005224784107,929.7439657175287,1586.9031431612964,0.3062236614812341,0.00043100306827348073,0.3235241839596448
120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut120_ak6_ca4.root,ok,,1000,1000,1.0,0.0,0.02,0.004427188724235731,0.02,0.0125,0.504,0.44,1043.8215774744879,916.2707972502652,1565.3809044037441,0.3109296268448445,0.0007267723037952243,0.33531178459229327
140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut140_ak6_ca4.root,ok,,1000,1000,1.0,0.0,0.032,0.005565608681896348,0.032,0.0195,0.529,0.453,1025.8002763527961,903.557977248717,1528.5899208863718,0.30465576879153233,0.0011519086378883807,0.33923579642681195
160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut160_ak6_ca4.root,ok,,1000,1000,1.0,0.0,0.043,0.006414904519944158,0.043,0.0265,0.5415,0.448,1016.4257117689754,880.8371316927058,1483.1148479775482,0.2962723735297119,0.003722719120682342,0.34091494470660944
140,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut140_ak8_ca6.root,ok,,1000,1000,1.0,0.0,0.023,0.004740358636221525,0.023,0.014,0.418,0.348,1115.1315866866648,969.7926081004383,1686.1215652016585,0.3211858428428222,0.005629014768041736,0.3556990015114887
180,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut180_ak10_ca8.root,ok,,1000,1000,1.0,0.0,0.028,0.005216895628628198,0.028,0.0165,0.266,0.189,1188.311723102015,1006.3712036398872,1741.2038689288534,0.30919187743546384,0.018137885416061178,0.35602304974566534
120,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut120_ak8_ca6.root,ok,,1000,1000,1.0,0.0,0.013,0.003582038525755969,0.013,0.0065,0.3935,0.331,1151.4393872153303,983.5899521447617,1749.287526214502,0.33249582330231137,0.0035853151401622914,0.3606397620238444
200,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut200_ak10_ca8.root,ok,,1000,1000,1.0,0.0,0.04,0.0061967733539318665,0.04,0.0235,0.2665,0.177,1168.2922923130034,979.4876429167625,1694.9291609817012,0.30619114872721465,0.021170256396060162,0.363020377958515
160,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut160_ak8_ca6.root,ok,,1000,1000,1.0,0.0,0.033,0.005648982209212559,0.033,0.0195,0.434,0.35,1094.6711846858475,951.3518788230127,1661.3090002947893,0.3242787109973679,0.009357191258124294,0.36674582946595263
180,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut180_ak6_ca4.root,ok,,1000,1000,1.0,0.0,0.059,0.007451107300260815,0.059,0.0365,0.5465,0.437,1006.464625736028,833.1496945066913,1460.9381839374516,0.3118780697193696,0.010342513763208293,0.3715245322929724
100,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_particleTransformer/WbWb_4000_1000_jetPtCut100_ak8_ca6.root,ok,,1000,1000,1.0,0.0,0.009,0.002986469487538756,0.009,0.0045,0.36,0.31,1209.2442067626284,998.8014917145405,1836.7377637490827,0.3464710714959112,0.0018658631369586078,0.37639549217217405
